school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Greenwood,2011,6,99,42,77,6,77,1
Guangyang,2011,0,22,79,158,0,22,0
Haig Girls’,2011,1,101,60,119,1,101,0
Henry Park,2011,30,68,29,30,29,30,1
Holy Innocents’,2011,63,70,57,56,57,56,1
Hong Wen,2011,50,100,53,57,49,57,1
Horizon,2011,3,192,139,274,3,192,0
Hougang,2011,28,126,61,93,28,93,1
Huamin,2011,2,38,59,115,2,37,0
Innova,2011,12,150,63,114,12,114,1
Jiemin,2011,1,124,45,89,1,89,1
Jing Shan,2011,2,79,54,107,2,79,0
Junyuan,2011,1,71,66,130,1,71,0
Jurong,2011,11,122,54,98,11,98,1
Jurong West,2011,35,116,82,129,34,116,0
Juying,2011,0,24,78,162,0,23,0
Keming,2011,27,135,57,88,27,88,1
Kheng Cheng,2011,3,149,76,149,3,149,0
Kong Hwa,2011,69,82,47,48,47,48,1
Kranji,2011,1,35,76,151,1,35,0
Kuo Chuan Presbyterian,2011,34,123,72,111,33,111,1
Lakeside,2011,0,115,71,143,0,115,0
Lianhua,2011,0,56,70,142,0,56,0
Maha Bodhi,2011,55,69,55,56,55,56,1
Maris Stella High,2011,88,95,76,77,76,77,1
Marsiling,2011,1,77,92,182,1,77,0
Marymount Convent,2011,21,112,93,165,21,112,0
Mayflower,2011,1,68,79,157,1,67,0
Mee Toh,2011,73,157,76,82,73,82,1
Meridian,2011,0,52,67,136,0,50,0
Methodist Girls’,2011,50,51,35,35,35,35,1
Montfort Junior,2011,7,48,85,162,7,47,0
Nan Chiau,2011,83,181,68,69,68,69,1
Nan Hua,2011,38,84,28,28,28,28,1
Nanyang,2011,45,53,28,30,28,30,1
Naval Base,2011,0,39,75,149,0,39,0
New Town,2011,0,103,83,165,0,103,0
Ngee Ann,2011,24,112,64,105,24,105,1
North Spring,2011,0,58,98,197,0,58,0
North View,2011,2,69,61,120,1,69,0
North Vista,2011,8,185,100,194,8,185,0
Northland,2011,54,146,44,44,44,44,1
Opera Estate,2011,0,30,68,137,0,30,0
Park View,2011,1,54,58,115,1,53,0
Pasir Ris,2011,26,91,38,50,26,50,1
Paya Lebar Methodist Girls’,2011,76,106,86,97,76,97,1
Pei Chun Public,2011,67,114,61,61,61,61,1
Pei Hwa Presbyterian,2011,70,58,44,43,44,43,1
Pei Tong,2011,2,59,76,151,2,59,0
Peiying,2011,2,68,57,112,2,68,0
Pioneer,2011,1,70,77,154,1,70,0
Poi Ching,2011,33,83,55,78,33,78,1
Princess Elizabeth,2011,5,117,28,53,5,53,1
Punggol,2011,1,100,61,120,1,100,0
Qifa,2011,7,101,60,115,6,101,0
Qihua,2011,0,103,83,167,0,102,0
Queenstown,2011,0,77,71,142,0,77,0
Radin Mas,2011,40,118,60,81,40,81,1
Raffles Girls’,2011,49,46,42,42,41,42,1
Red Swastika,2011,29,75,22,22,22,22,1
River Valley,2011,42,78,54,69,41,69,1
Rivervale,2011,32,163,60,88,32,88,1
Rosyth,2011,41,108,25,24,25,24,1
Rulang,2011,35,92,19,21,19,21,1
Sembawang,2011,1,47,113,225,1,47,0
Seng Kang,2011,1,38,78,155,1,38,0
Shuqun,2011,23,174,57,92,23,92,1
Si Ling,2011,3,62,88,173,3,62,0
Singapore Chinese Girls’,2011,37,51,40,43,37,43,1
South View,2011,17,102,19,21,17,21,1
St. Andrew’s Junior,2011,77,84,63,62,63,62,1
St. Anthony’s,2011,37,124,68,101,36,101,1
St. Anthony’s Canossian,2011,31,86,78,125,30,86,0
St. Gabriel’s,2011,26,99,50,74,26,74,1
St. Hilda’s,2011,49,115,38,38,38,38,1
St. Joseph’s Institution Junior,2011,77,80,50,51,48,51,1
St. Margaret’s,2011,26,137,73,120,26,120,1
St. Stephen’s,2011,60,76,65,71,59,71,1
Stamford,2011,0,54,82,165,0,54,0
Tampines,2011,2,123,60,118,2,118,1
Tampines North,2011,0,56,61,121,0,56,0
Tanjong Katong,2011,7,101,55,107,7,101,0
Tao Nan,2011,84,88,47,49,47,49,1
Teck Ghee,2011,2,137,76,150,2,137,0
Teck Whye,2011,1,23,94,188,1,23,0
Telok Kurau,2011,1,106,57,113,1,105,0
Temasek,2011,36,92,29,29,29,29,1
Townsville,2011,1,79,78,156,1,79,0
Unity,2011,9,125,56,104,9,104,1
Wellington,2011,1,77,91,181,1,77,0
West Grove,2011,35,220,73,113,33,113,1
West View,2011,1,47,86,170,1,47,0
White Sands,2011,15,86,44,74,14,74,1
Woodgrove,2011,29,107,69,109,29,107,0
Woodlands,2011,1,100,62,123,1,100,0
Woodlands Ring,2011,7,116,76,147,7,115,0
Xinghua,2011,0,49,86,171,0,47,0
Xingnan,2011,4,110,69,134,4,110,0
Xinmin,2011,8,118,35,63,8,63,1
