school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Alexandra,2025,5,73,23,67,5,67,1
Anchor Green,2025,0,23,52,155,0,23,0
Anderson,2025,25,91,29,65,25,65,1
Ang Mo Kio,2025,0,36,41,123,0,36,0
Anglo-Chinese (Junior),2025,61,95,30,61,30,61,1
Anglo-Chinese (Primary),2025,61,96,33,66,33,66,1
Angsana,2025,1,167,20,59,1,59,1
Beacon,2025,0,38,36,107,0,38,0
Bedok Green,2025,0,30,65,195,0,30,0
Bendemeer,2025,0,27,44,133,0,27,0
Blangah Rise,2025,0,19,30,89,0,19,0
Boon Lay Garden,2025,0,35,45,135,0,35,0
Bukit Panjang,2025,20,78,26,61,20,61,1
Bukit Timah,2025,0,104,44,132,0,104,0
Bukit View,2025,0,92,67,202,0,92,0
CHIJ (Katong),2025,12,71,40,107,12,71,0
CHIJ (Kellock),2025,6,57,42,123,6,57,0
CHIJ (Toa Payoh),2025,56,77,25,49,25,49,1
CHIJ Our Lady Queen of Peace,2025,7,89,46,132,7,89,0
CHIJ Our Lady of Good Counsel,2025,9,44,34,93,9,44,0
CHIJ Our Lady of the Nativity,2025,37,131,51,116,37,116,1
CHIJ St. Nicholas Girls’,2025,48,71,20,41,20,41,1
Canberra,2025,18,105,35,87,18,87,1
Canossa Catholic,2025,14,34,24,60,14,34,0
Cantonment,2025,0,29,39,116,0,29,0
Casuarina,2025,0,30,21,64,0,30,0
Catholic High,2025,35,72,20,40,20,40,1
Cedar,2025,0,57,48,146,0,57,0
Changkat,2025,1,42,74,220,1,42,0
Chongfu,2025,39,138,20,40,20,40,1
Chongzheng,2025,10,127,44,125,10,125,1
Chua Chu Kang,2025,16,152,30,77,16,77,1
Clementi,2025,0,86,77,231,0,86,0
Compassvale,2025,19,112,38,96,19,96,1
Concord,2025,1,96,29,86,1,86,1
Corporation,2025,0,23,36,109,0,23,0
Dazhong,2025,0,72,26,80,0,72,0
De La Salle,2025,12,114,51,143,12,114,0
East Spring,2025,0,55,55,165,0,55,0
Edgefield,2025,0,26,59,178,0,26,0
Elias Park,2025,0,115,22,66,0,66,1
Endeavour,2025,0,68,58,174,0,68,0
Evergreen,2025,0,68,33,100,0,68,0
Fairfield Methodist,2025,30,70,20,42,20,42,1
Farrer Park,2025,0,24,43,129,0,24,0
Fengshan,2025,0,93,23,69,0,69,1
Fern Green,2025,0,85,51,153,0,85,0
Fernvale,2025,1,72,52,156,1,72,0
First Toa Payoh,2025,0,10,50,151,0,10,0
Frontier,2025,23,66,20,40,20,40,1
Fuchun,2025,0,47,31,94,0,47,0
Fuhua,2025,0,31,39,119,0,31,0
Gan Eng Seng,2025,0,17,39,116,0,17,0
Geylang Methodist,2025,4,138,47,138,4,138,0
Gongshang,2025,17,117,20,44,17,44,1
Greendale,2025,0,24,43,128,0,24,0
Greenridge,2025,1,27,29,87,1,27,0
Greenwood,2025,0,75,30,91,0,75,0
Haig Girls’,2025,20,83,39,98,20,83,0
Henry Park,2025,31,93,31,63,31,63,1
Holy Innocents’,2025,44,110,22,45,22,45,1
Hong Wen,2025,23,153,28,62,23,62,1
Horizon,2025,11,79,20,50,11,50,1
Hougang,2025,16,115,38,98,16,98,1
Huamin,2025,2,86,20,58,2,58,1
Innova,2025,4,77,36,105,4,77,0
Jiemin,2025,0,38,34,101,0,38,0
Jing Shan,2025,0,50,20,60,0,50,0
Junyuan,2025,0,91,28,85,0,85,1
Jurong,2025,0,48,40,121,0,48,0
Jurong West,2025,1,77,20,59,1,59,1
Keming,2025,21,125,33,77,21,77,1
Kheng Cheng,2025,1,173,54,162,1,162,1
Kong Hwa,2025,49,118,24,49,24,49,1
Kuo Chuan Presbyterian,2025,32,113,30,59,30,59,1
Lakeside,2025,1,97,44,130,1,97,0
Lianhua,2025,0,26,81,242,0,26,0
Maha Bodhi,2025,46,125,23,49,23,49,1
Maris Stella High,2025,53,124,31,62,31,62,1
Marsiling,2025,0,99,35,104,0,99,0
Marymount Convent,2025,3,55,70,206,3,55,0
Mayflower,2025,0,26,30,91,0,26,0
Mee Toh,2025,37,153,52,119,37,119,1
Meridian,2025,0,29,48,146,0,29,0
Methodist Girls’,2025,54,78,22,45,22,45,1
Montfort Junior,2025,5,11,41,118,5,11,0
Nan Chiau,2025,102,269,42,85,42,85,1
Nan Hua,2025,40,166,21,41,21,41,1
Nanyang,2025,53,63,20,42,20,42,1
Naval Base,2025,1,64,20,60,1,60,1
New Town,2025,1,21,60,178,1,21,0
Ngee Ann,2025,2,148,42,127,2,127,1
North Spring,2025,0,41,40,120,0,41,0
North View,2025,1,109,20,60,1,60,1
North Vista,2025,0,35,45,136,0,35,0
Northland,2025,29,142,20,41,20,41,1
Northoaks,2025,0,10,67,201,0,10,0
Northshore,2025,1,128,29,86,1,86,1
Oasis,2025,0,59,35,105,0,59,0
Opera Estate,2025,0,83,35,104,0,83,0
Palm View,2025,0,84,55,165,0,84,0
Park View,2025,0,42,37,110,0,42,0
Pasir Ris,2025,19,59,20,41,19,41,1
Paya Lebar Methodist Girls’,2025,46,110,44,89,44,89,1
Pei Chun Public,2025,32,94,21,45,21,45,1
Pei Hwa Presbyterian,2025,51,84,20,41,20,41,1
Pei Tong,2025,0,30,73,220,0,30,0
Peiying,2025,0,53,35,105,0,53,0
Pioneer,2025,6,194,113,332,6,194,0
Poi Ching,2025,42,212,47,99,42,99,1
Princess Elizabeth,2025,28,232,20,41,20,41,1
Punggol,2025,3,75,20,59,3,59,1
Punggol Cove,2025,0,26,42,126,0,26,0
Punggol Green,2025,3,118,20,58,3,58,1
Punggol View,2025,0,56,26,77,0,56,0
Qifa,2025,12,148,47,131,12,131,1
Qihua,2025,0,52,37,112,0,52,0
Queenstown,2025,0,115,35,105,0,105,1
Radin Mas,2025,22,96,23,47,22,47,1
Raffles Girls’,2025,31,143,49,115,31,115,1
Red Swastika,2025,42,93,20,41,20,41,1
River Valley,2025,14,94,35,94,14,94,0
Riverside,2025,6,79,20,54,6,54,1
Rivervale,2025,17,111,38,96,17,96,1
Rosyth,2025,31,132,20,42,20,42,1
Rulang,2025,30,98,20,40,20,40,1
Sembawang,2025,0,107,25,75,0,75,1
Seng Kang,2025,0,11,42,127,0,11,0
Sengkang Green,2025,15,84,20,48,15,48,1
Shuqun,2025,20,79,20,41,20,41,1
Si Ling,2025,0,26,39,118,0,26,0
Singapore Chinese Girls’,2025,27,58,20,41,20,41,1
South View,2025,26,155,20,41,20,41,1
Springdale,2025,0,66,30,92,0,66,0
St. Andrew’s Junior,2025,33,104,39,84,33,84,1
St. Anthony’s,2025,34,124,39,85,34,85,1
St. Anthony’s Canossian,2025,3,33,55,164,3,33,0
St. Gabriel’s,2025,18,70,33,82,18,70,0
St. Hilda’s,2025,29,136,20,43,20,43,1
St. Joseph’s Institution Junior,2025,77,115,39,78,39,78,1
St. Margaret’s,2025,15,125,42,113,15,113,1
St. Stephen’s,2025,11,74,64,183,11,74,0
Tampines,2025,2,84,44,131,2,84,0
Tampines North,2025,0,60,64,191,0,60,0
Tanjong Katong,2025,9,83,20,53,9,53,1
Tao Nan,2025,63,81,20,45,20,45,1
Teck Ghee,2025,3,76,47,137,3,76,0
Teck Whye,2025,0,23,48,144,0,23,0
Telok Kurau,2025,0,63,50,150,0,63,0
Temasek,2025,10,103,20,50,10,50,1
Unity,2025,0,54,48,143,0,54,0
Valour,2025,3,88,20,57,3,57,1
Waterway,2025,0,102,20,60,0,60,1
Wellington,2025,21,104,20,40,20,40,1
West Grove,2025,0,41,46,137,0,41,0
West Spring,2025,1,40,21,63,1,40,0
West View,2025,0,32,20,61,0,32,0
Westwood,2025,7,76,20,53,7,53,1
White Sands,2025,2,79,35,102,2,79,0
Woodgrove,2025,5,87,34,98,5,87,0
Woodlands,2025,8,87,32,90,8,87,0
Woodlands Ring,2025,0,50,34,103,0,50,0
Xinghua,2025,0,45,47,140,0,45,0
Xingnan,2025,0,47,32,97,0,47,0
Xinmin,2025,19,87,24,53,19,53,1
Xishan,2025,1,66,49,146,1,66,0
Yangzheng,2025,14,98,20,47,14,47,1
Yew Tee,2025,1,68,48,144,1,68,0
Yio Chu Kang,2025,0,22,37,110,0,22,0
Yishun,2025,0,50,40,122,0,50,0
Yu Neng,2025,16,60,20,44,16,44,1
Yuhua,2025,1,26,58,174,1,26,0
Yumin,2025,0,10,67,201,0,10,0
Zhangde,2025,0,74,29,87,0,74,0
Zhenghua,2025,0,50,20,62,0,50,0
Zhonghua,2025,0,8,44,133,0,8,0
